route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
128.3,1,86,Tajo-Metro Horta - Calderón De La Barca,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=128,FFCC00,000000
129.1,1,87,Travessera De Gràcia - Tajo-Horta,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=129,FFCC00,000000
130.2,35,A1,Aerobus (Pl. Catalunya - Aeroport Terminal T1),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=130,FFCC00,000000
132.6,44,B14,Sta. Coloma De G. - St. Adrià De B.(Est. Rodalies),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=132,FFCC00,000000
137.5,44,B19,Hospital Vall D'Hebron - Hospital Can Ruti,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=137,FFCC00,000000
141.7,44,B23,Barcelona (La Maquinista) - Badalona (Montigalà),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=141,FFCC00,000000
142.5,44,B24,Barcelona (Rda. Sant Pere) - Hospital Can Ruti,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=142,FFCC00,000000
143.5,44,B25,Barcelona (Rda. Sant Pere) - Badalona (Pomar),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=143,FFCC00,000000
145.4,44,B27,Santa Coloma (Oliveres) - Badalona (H. Can Ruti),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=145,FFCC00,000000
146.4,44,B29,Badalona (Montigalà) - Tiana (Poliesp. Municipal),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=146,FFCC00,000000
147.5,44,B30,Sta. Coloma De G. - Montgat (La Virreina - Tiana),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=147,FFCC00,000000
156.2,22,CF1,Castelldefels - Les Botigues De Sitges,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=156,FFCC00,000000
