stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ATC,,"All (c. Major, 29)",,42.397730440657114,1.8399937917113087,,,,,,
ATD,,"Is�vol (ctra. N-260, pk 192,4) (A)",,42.378162436053714,1.8190002112896821,,,,,,
ATE,,Jafre,,42.07010468213461,3.0132605381701074,,,,,,
ATF,,la Jonquera,,42.41879255189289,2.8713541520651993,,,,,,
ATG,,els L�mits,,42.459599347691494,2.8641798366438054,,,,,,
ATI,,Jui� (cru�lla),,42.01641622088049,2.907942785684014,,,,,,
ATJ,,Llad�,,42.24785292858977,2.8161959851242284,,,,,,
ATK,,Llagostera,,41.82865935101871,2.895808525073605,,,,,,
ATL,,Llambilles,,41.92090269896858,2.8505549570853805,,,,,,
ATM,,Llanars,,42.32204639575314,2.348777672162152,,,,,,
ATN,,Llan��,,42.36620984630512,3.1548680087945202,,,,,,
ATO,,Llan�� (estaci�),,42.3629869824609,3.147027224987229,,,,,,
ATP,,els Hostalets de Llers,,42.292045010062466,2.9438850071136207,,,,,,
ATR,,Ll�via,,42.46293751105687,1.9796878159035567,,,,,,
ATT,,Lloret de Mar (estaci� d'autobusos),,41.701229693684404,2.8421588443574404,,,,,,
ATV,,els Hostalets de les Ll.,,42.15313891341701,2.0675645625620014,,,,,,
ATW,,Santa Maria de les Llosses,,42.15258315036483,2.113336163183579,,,,,,
ATX,,Santa Maria de Matamala,,42.1593115104522,2.0892746978537673,,,,,,
ATZ,,Mai� de Montcal,,42.2061469034482,2.7505748277154174,,,,,,
AUA,,Masarac,,42.340106199824476,2.9534204230788386,,,,,,
AUB,,Vilarnadal,,42.336672125925155,2.9471107183065444,,,,,,
AUC,,Ma�anet de Cabrenys,,42.38577355210755,2.7538739541066666,,,,,,
AUD,,Ma�anet de la Selva,,41.76934321567791,2.7093462148075496,,,,,,
AUF,,Mieres,,42.131294086136656,2.6473323307645025,,,,,,
AUG,,Mollet de Peralada,,42.35998314864348,3.0010079028392846,,,,,,
AUI,,Montagut (encreuament),,42.22110773183783,2.5810148664112935,,,,,,
AUJ,,Mont-ras,,41.90846346717321,3.1500912449166125,,,,,,
AUK,,Navata,,42.23978745089275,2.8994739482347445,,,,,,
AUL,,Can Vil�,,42.220742214896035,2.8207699235644346,,,,,,
AUM,,Olot (estaci� d'autobusos),,42.18071165628015,2.491251200623258,,,,,,
AUO,,Batet de la Serra,,42.178197465679524,2.4868880704616996,,,,,,
AUP,,Ordis,,42.21508703151948,2.9040080203203327,,,,,,
AUQ,,les Mines d'Osor,,41.95007979419175,2.592386294491958,,,,,,
AUR,,Osor,,41.9455541540215,2.557187045556467,,,,,,
